"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"Tyler Thornburg","Brewers","28.0","3.21","121","25","10","10","1","14","2","1","17",".236",".339",".301",".289","10688"
"Anthony Bass","Padres","16.2","3.24","69","13","6","6","1","6","3","0","14",".206",".279",".306",".245","7982"
"Sandy Rosario","Giants","19.1","3.26","88","20","8","7","1","11","3","0","12",".260",".356",".378",".314","1525"
"John Axford","- - -","35.2","3.28","150","39","15","13","6","6","0","2","32",".275",".315",".436",".329","9059"
"Jake Westbrook","Cardinals","49.1","3.28","208","50","21","18","2","13","1","4","16",".262",".327",".326",".293","412"
"Joe Kelly","Cardinals","63.0","3.29","274","70","25","23","6","21","3","1","38",".278",".337",".386",".319","9761"
"Burke Badenhop","Brewers","38.0","3.32","148","36","16","14","4","10","4","0","22",".261",".319",".409",".309","9736"
"Randall Delgado","Diamondbacks","65.0","3.32","254","61","26","24","8","8","0","0","37",".248",".275",".411",".298","5985"
"Cliff Lee","Phillies","107.2","3.34","434","105","43","40","16","10","0","2","116",".249",".271",".422",".302","1636"
"Homer Bailey","Reds","96.2","3.35","388","75","36","36","7","25","1","5","107",".209",".274",".332",".270","8362"
"Ian Krol","Nationals","13.1","3.38","62","17","5","5","1","5","1","0","12",".298",".361",".436",".343","10066"
"Sean Henn","Mets","2.2","3.38","12","2","1","1","1","3","0","0","1",".222",".417",".556",".422","2147"
"Sam Freeman","Cardinals","5.1","3.38","22","2","2","2","0","3","0","0","4",".105",".227",".211",".210","6832"
"Tom Layne","Padres","2.2","3.38","17","4","3","1","1","2","0","2","3",".308",".500",".583",".474","7501"
"Jake Arrieta","Cubs","34.2","3.38","141","19","13","13","3","17","0","3","23",".157",".281",".277",".261","4153"
"Travis Wood","Cubs","116.2","3.39","481","97","45","44","11","41","0","4","76",".222",".298",".359",".294","9884"
"David Hernandez","Diamondbacks","31.2","3.41","123","19","13","12","4","9","1","1","35",".168",".238",".313",".244","4259"
"Josh Outman","Rockies","29.0","3.41","126","30","12","11","2","12","0","1","31",".265",".341",".363",".317","4004"
"Bronson Arroyo","Reds","122.2","3.45","503","122","49","47","19","16","1","5","88",".253",".285",".439",".314","978"
"Stephen Fife","Dodgers","28.2","3.45","113","28","11","11","5","7","0","1","22",".267",".327",".461",".346","8077"
"Barry Zito","Giants","80.2","3.46","338","78","32","31","7","31","1","1","49",".255",".329",".394",".321","944"
"Jacob Turner","Marlins","57.0","3.47","239","57","25","22","2","21","2","0","35",".261",".331",".366",".307","10185"
"Scott Downs","Braves","10.1","3.48","47","13","4","4","0","5","0","0","11",".310",".400",".350",".342","773"
"James Russell","Cubs","28.1","3.49","116","27","11","11","3","7","4","1","25",".250",".302",".411",".299","4089"
"Tyler Chatwood","Rockies","61.2","3.50","266","70","28","24","4","23","4","1","37",".289",".355",".416",".335","4338"
"Jean Machi","Giants","27.2","3.58","112","31","11","11","2","3","0","0","24",".284",".306",".402",".309","3220"
"Ronald Belisario","Dodgers","32.2","3.58","144","33","14","13","1","17","6","1","20",".262",".354",".333",".298","2203"
"Zach Duke","- - -","15.0","3.60","61","13","7","6","0","4","1","1","7",".232",".300",".315",".269","3840"
"Jonathan Papelbon","Phillies","35.0","3.60","150","40","16","14","3","6","0","0","35",".278",".307",".373",".299","5975"
"Mike Minor","Braves","107.0","3.62","421","88","47","43","14","18","2","0","102",".218",".254",".393",".279","10021"
"Brad Boxberger","Padres","14.2","3.68","60","15","8","6","3","5","0","0","17",".273",".333",".509",".359","10133"
"Carlos Villanueva","Cubs","75.2","3.69","301","66","31","31","6","20","2","2","59",".237",".295",".398",".302","4138"
"Ricky Nolasco","- - -","92.1","3.70","387","89","42","38","6","23","1","5","75",".248",".305",".359",".295","3830"
"Aaron Harang","Mets","17.0","3.71","72","15","8","7","5","6","0","1","25",".231",".306",".477",".342","1451"
"Joe Thatcher","- - -","17.0","3.71","76","25","7","7","3","1","0","1","15",".338",".355",".473",".364","4620"
"Manny Parra","Reds","29.0","3.72","121","28","13","12","5","11","0","0","35",".255",".331",".449",".343","4279"
"Henderson Alvarez","Marlins","58.0","3.72","237","46","25","24","0","22","1","4","32",".218",".304",".321",".280","5669"
"J.J. Hoover","Reds","38.2","3.72","161","30","16","16","4","16","4","1","45",".208",".294",".366",".284","9037"
"Trevor Cahill","Diamondbacks","60.1","3.73","255","55","26","25","3","24","0","4","48",".242",".333",".369",".313","6249"
"Scott Atchison","Mets","24.0","3.75","101","22","13","10","1","5","0","0","18",".229",".270",".290",".250","2642"
"Josh Edgin","Mets","12.0","3.75","53","15","5","5","2","3","1","1","9",".306",".358",".510",".373","10796"
"Gerrit Cole","Pirates","72.0","3.75","296","74","31","30","4","20","0","2","58",".270",".329",".363",".310","13125"
"Matt Guerrier","- - -","26.1","3.76","110","24","12","11","2","11","2","1","15",".245",".330",".389",".311","2061"
"Wilton Lopez","Rockies","35.2","3.79","150","43","15","15","3","6","1","0","21",".299",".327",".441",".332","4227"
"Cole Hamels","Phillies","118.2","3.79","482","108","51","50","16","18","1","9","101",".237",".284",".414",".305","4972"
"Brandon McCarthy","Diamondbacks","80.2","3.79","334","90","37","34","7","8","1","4","42",".280",".309",".421",".319","4662"
"Yusmeiro Petit","Giants","23.2","3.80","92","20","10","10","3","2","0","0","23",".222",".239",".344",".256","4020"
"Eric O'Flaherty","Braves","7.0","3.86","27","5","3","3","2","2","0","0","9",".200",".259",".520",".332","5746"
"Sean O'Sullivan","Padres","14.0","3.86","66","17","6","6","0","10","0","0","7",".304",".409",".418",".368","9137"
"Pedro Strop","Cubs","18.2","3.86","76","11","8","8","1","7","0","1","23",".162",".257",".288",".249","4070"
"Matt Langwell","Diamondbacks","4.2","3.86","21","4","2","2","0","3","0","1","1",".235",".381",".235",".302","8130"
"Tim Stauffer","Padres","38.1","3.99","156","35","17","17","5","9","1","1","38",".240",".290",".379",".294","6432"
"Mike Leake","Reds","90.0","4.00","371","90","42","40","15","21","3","3","65",".259",".310",".463",".332","10130"
"Raul Valdes","Phillies","18.0","4.00","74","16","8","8","2","4","0","2","16",".235",".301",".403",".312","1953"
"Nathan Eovaldi","Marlins","51.2","4.01","229","55","26","23","3","20","2","0","31",".263",".333",".382",".315","9132"
"Jordan Walden","Braves","24.2","4.01","101","17","12","11","3","8","3","1","31",".185",".257",".326",".249","3271"
"Taylor Jordan","Nationals","24.1","4.07","102","27","12","11","2","3","0","1","17",".276",".307",".351",".293","10466"
"Ian Kennedy","- - -","84.0","4.07","367","86","46","38","8","37","1","1","80",".261",".343",".401",".329","6986"
"Vic Black","- - -","11.0","4.09","50","13","5","5","0","3","0","1","8",".283",".340",".356",".310","9195"
"Jaime Garcia","Cardinals","33.0","4.09","136","34","15","15","5","7","0","0","30",".264",".304",".438",".324","8137"
"Jason Marquis","Padres","71.2","4.14","312","64","34","33","11","43","0","2","48",".240",".353",".397",".336","105"
"Wade Miley","Diamondbacks","89.0","4.15","379","91","43","41","11","33","0","1","54",".264",".333",".424",".334","8779"
"Eury De la Rosa","Diamondbacks","8.2","4.15","31","3","4","4","2","2","0","0","12",".103",".161",".379",".232","4055"
"Brooks Raley","Cubs","8.2","4.15","35","6","4","4","1","4","0","1","9",".200",".314",".414",".318","10061"
"Jhoulys Chacin","Rockies","116.1","4.18","486","115","58","54","6","35","1","2","61",".256",".315",".369",".302","2608"
"Tim Lincecum","Giants","103.0","4.28","426","87","50","49","11","36","6","2","107",".224",".297",".388",".297","5705"
"Kevin Slowey","Marlins","51.2","4.35","219","60","26","25","10","7","0","2","42",".286",".317",".515",".357","9918"
"Fernando Salas","Cardinals","12.1","4.38","50","10","6","6","3","3","0","0","10",".213",".260",".477",".307","4971"
"Jared Hughes","Pirates","12.1","4.38","56","14","6","6","2","6","1","0","11",".280",".364",".469",".360","9325"
"Scott Rice","Mets","26.2","4.39","115","24","13","13","1","15","2","2","19",".245",".360",".316",".304","2743"
"Ross Detwiler","Nationals","34.1","4.46","151","48","20","17","3","7","0","0","18",".333",".372",".496",".379","2859"
"Craig Stammen","Nationals","36.1","4.46","166","51","19","18","3","14","2","1","33",".338",".405",".469",".381","7274"
"Matt Belisle","Rockies","38.1","4.46","164","43","20","19","4","7","0","0","32",".274",".305",".439",".324","1837"
"Kyle Kendrick","Phillies","90.1","4.48","393","101","48","45","11","24","2","4","55",".277",".334",".439",".337","6230"
"Chad Billingsley","Dodgers","6.0","4.50","25","7","3","3","1","2","0","0","3",".304",".375",".500",".383","5842"
"Joe Paterson","Diamondbacks","2.0","4.50","9","2","1","1","0","0","0","2","1",".286",".444",".286",".358","2565"
"Justin Grimm","Cubs","4.0","4.50","16","2","2","2","0","1","0","1","4",".143",".250",".214",".223","11720"
"Edwin Jackson","Cubs","78.0","4.50","349","91","44","39","6","25","4","1","67",".282",".338",".425",".331","1841"
"Jeremy Hefner","Mets","59.1","4.55","255","65","38","30","12","16","3","1","46",".273",".322",".481",".345","1989"
"Yovani Gallardo","Brewers","92.1","4.58","401","98","50","47","12","32","0","1","80",".266",".330",".423",".330","8173"
"Brandon Beachy","Braves","17.2","4.58","70","17","9","9","3","2","0","0","15",".250",".275",".500",".330","8851"
"Drew Pomeranz","Rockies","13.2","4.61","62","13","7","7","3","9","0","0","13",".245",".361",".490",".370","11426"
"B.J. Rosenberg","Phillies","11.2","4.63","52","12","6","6","0","5","1","0","13",".255",".327",".319",".286","7183"
"Tyler Skaggs","Diamondbacks","33.0","4.64","147","32","18","17","5","15","2","2","32",".246",".333",".419",".328","10190"
"Tom Koehler","Marlins","60.0","4.65","265","63","31","31","4","30","2","2","45",".270",".361",".409",".340","6570"
"Matt Magill","Dodgers","15.1","4.70","71","11","12","8","2","12","0","1","11",".190",".338",".316",".304","3950"
"Matt Cain","Giants","95.2","4.70","405","87","51","50","11","35","1","2","84",".236",".308",".409",".315","4732"
"Michael Gonzalez","Brewers","26.2","4.73","117","27","14","14","4","9","0","2","35",".255",".328",".448",".341","1794"
"Matt Garza","Cubs","26.2","4.73","112","29","14","14","4","6","1","1","19",".276",".324",".456",".337","3340"
"Zack Wheeler","Mets","45.2","4.73","204","46","25","24","7","22","2","2","41",".256",".348",".438",".344","10310"
"Jeff Samardzija","Cubs","107.2","4.76","476","116","59","57","13","45","2","4","110",".272",".349",".432",".344","3254"
"John Gast","Cardinals","11.1","4.76","46","10","6","6","1","3","0","0","8",".233",".283",".326",".273","11133"
"Wily Peralta","Brewers","94.1","4.77","420","99","60","50","9","47","1","4","65",".268",".361",".388",".335","7738"
"Clayton Richard","Padres","26.1","4.78","119","31","16","14","2","13","1","0","14",".292",".379",".441",".359","3551"
"Alex Sanabia","Marlins","30.0","4.80","132","36","16","16","5","12","2","1","17",".303",".371",".529",".387","5350"
"Edgmer Escalona","Rockies","22.1","4.84","93","23","12","12","3","5","1","1","19",".264",".319",".459",".335","8574"
"Mike Adams","Phillies","13.0","4.85","57","13","7","7","4","4","0","1","14",".250",".316",".519",".362","1937"
"Hector Rondon","Cubs","27.2","4.88","122","28","15","15","4","11","1","1","21",".255",".333",".443",".336","2391"
"Jeff Locke","Pirates","82.2","4.90","366","92","47","45","9","37","3","3","57",".282",".364",".429",".347","2929"
"Tom Gorzelanny","Brewers","44.0","4.91","189","46","26","24","9","17","0","1","47",".269",".339",".467",".352","6244"
"Scott Baker","Cubs","9.0","5.00","36","6","5","5","2","4","0","0","2",".188",".286",".484",".333","6176"
"Luis Garcia","Phillies","18.0","5.00","77","17","11","10","2","10","0","1","12",".258",".364",".409",".346","6984"
"Jeanmar Gomez","Pirates","35.2","5.05","153","35","23","20","1","11","0","3","27",".252",".325",".353",".301","9033"
"Jeurys Familia","Mets","5.1","5.06","27","6","3","3","1","5","0","0","5",".273",".423",".476",".399","5114"
"Chris Withrow","Dodgers","10.2","5.06","47","10","6","6","3","5","0","0","10",".238",".319",".452",".340","7161"
"Alfredo Figaro","Brewers","44.1","5.08","189","47","27","25","13","11","1","1","36",".266",".316",".557",".373","8404"
"Kevin Gregg","Cubs","29.2","5.16","135","30","19","17","3","17","1","1","34",".256",".364",".404",".341","1793"
"Chris Capuano","Dodgers","57.1","5.18","261","79","39","33","8","14","5","0","48",".320",".360",".510",".372","1701"
"Chris Rusin","Cubs","27.2","5.20","130","37","17","16","4","12","1","2","14",".319",".395",".526",".398","9895"
"Logan Ondrusek","Reds","25.2","5.26","118","31","15","15","6","10","1","1","28",".290",".359",".538",".386","3677"
"Ryan Vogelsong","Giants","63.0","5.29","277","70","37","37","7","24","1","4","43",".281",".356",".431",".347","1011"
"Will Harris","Diamondbacks","23.2","5.32","102","32","14","14","3","4","0","0","22",".327",".353",".485",".364","3192"
"Hisanori Takahashi","Cubs","1.2","5.40","9","2","1","1","0","2","0","0","2",".286",".444",".333",".351","10091"
"Erik Davis","Nationals","5.0","5.40","25","9","3","3","0","1","0","0","8",".375",".417",".609",".440","8422"
"Shaun Marcum","Mets","41.1","5.44","173","42","25","25","5","7","1","4","37",".259",".308",".425",".319","6204"
"Tony Sipp","Diamondbacks","18.0","5.50","84","17","11","11","4","11","1","1","24",".236",".354",".500",".369","8280"
"Edinson Volquez","- - -","86.2","5.50","389","91","58","53","11","41","1","1","80",".262",".345",".431",".343","3990"
"Daisuke Matsuzaka","Mets","16.1","5.51","73","14","10","10","3","6","0","4","12",".222",".338",".426",".342","7775"
"Dan Haren","Nationals","75.0","5.52","320","84","46","46","13","12","0","5","67",".277",".320",".485",".349","1757"
"Kameron Loe","- - -","13.0","5.54","64","19","8","8","3","6","0","0","8",".328",".397",".596",".427","4422"
