"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"Nate Karns","Nationals","7.1","8.59","38","10","7","7","3","5","0","1","5",".313",".432",".710",".482","12638"
"Jeff Manship","Rockies","8.1","8.64","39","11","9","8","3","2","0","0","2",".297",".333",".611",".398","6865"
"J.C. Ramirez","Phillies","7.0","9.00","39","15","9","7","4","3","0","0","7",".417",".462",".857",".548","8302"
"Keith Butler","Cardinals","7.0","9.00","36","6","7","7","0","9","0","0","6",".222",".417",".296",".342","10080"
"Chad Durbin","Phillies","9.0","9.00","48","14","10","9","2","7","1","0","10",".341",".438",".641",".444","1442"
"Mike Kickham","Giants","13.2","10.54","71","22","17","16","4","5","1","0","15",".333",".386",".600",".421","11618"
"Aaron Laffey","Mets","5.0","10.80","29","12","6","6","1","2","0","1","5",".462",".536",".760",".554","6248"
"Chris Volstad","Rockies","4.0","11.25","22","8","5","5","1","1","0","1","1",".400",".455",".750",".512","9901"
"Roy Oswalt","Rockies","10.2","11.81","53","18","14","14","2","5","0","1","8",".383",".462",".600",".456","571"
"Edgar Olmos","Marlins","3.0","12.00","14","5","5","4","1","1","0","0","2",".385",".429",".769",".505","10174"
"Mitchell Boggs","- - -","9.0","12.00","54","13","14","12","2","11","2","2","7",".317",".491",".550",".447","3344"
"Pedro Villarreal","Reds","5.2","12.71","32","13","8","8","4","3","0","0","4",".448",".500",".897",".589","9904"
"Chang-Yong Lim","Cubs","1.1","13.50","10","3","2","2","0","4","1","0","2",".500",".700",".667",".569","14445"
"Brian Flynn","Marlins","4.0","13.50","22","6","6","6","1","6","0","0","4",".375",".545",".688",".520","12027"
"Shawn Camp","Cubs","8.0","14.63","46","17","13","13","3","5","1","0","5",".415",".489",".811",".523","1855"
"Josh Wall","Dodgers","5.2","15.88","36","15","10","10","1","4","2","0","5",".469",".543",".767",".540","4436"
"Chris Hatcher","Marlins","3.0","18.00","19","6","7","6","0","3","1","0","1",".375",".474",".563",".436","3299"
"Anthony Recker","Mets","1.0","18.00","5","1","2","2","1","1","0","0","0",".250",".400","1.000",".558","4063"
"Justin Freeman","Reds","1.0","18.00","5","2","2","2","1","0","0","0","0",".400",".400","1.200",".674","7568"
"Onelki Garcia","Dodgers","1.0","18.00","8","1","2","2","1","4","0","0","1",".250",".625","1.000",".608","13674"
"Zach Putnam","Cubs","3.1","18.90","19","9","7","7","1","0","0","0","4",".474",".474",".778",".525","9080"
"Maikel Cleto","Cardinals","2.1","19.29","15","5","5","5","1","1","0","2","5",".417",".533",".667",".519","5529"
"Eric Surkamp","Giants","2.2","23.63","18","9","7","7","2","0","0","2","0",".563",".611","1.000",".680","2540"
"Duane Below","Marlins","1.0","27.00","8","4","3","3","0","1","1","0","1",".571",".625",".714",".562","3124"
"Mike Zagurski","Pirates","2.2","30.38","22","9","9","9","1","4","0","1","2",".529",".667",".813",".622","9683"
"Marc Rzepczynski","Cardinals","1.1","33.75","13","7","5","5","1","2","0","0","2",".636",".692","1.091",".737","6612"
"Casper Wells","Phillies","0.2","67.50","8","3","5","5","0","3","1","0","0",".600",".750",".800",".632","9700"
