Astros	 Brett Wallace	They Don't Know	Paul Wall	Hip-Hop/Rap	https://itunes.apple.com/us/album/they-dont-know/id79566615?i=79566407&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Adam Lind	Scream & Shout	Will.I.Am & Britney Spears	R&B/Soul	https://itunes.apple.com/us/album/thoia-thoing/id252023318?i=252023356&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Brett Lawrie	Batter Up	Nelly	Hip-Hop/Rap	https://itunes.apple.com/us/album/batter-up-feat.-ali-murphy-lee/id557720?i=557687&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Casey Janssen	DOA	Foo Fighters	Alternative	https://itunes.apple.com/us/album/doa/id300855107?i=300855111&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Colby Rasmus	Boys 'Round Here	Blake Shelton	Country	https://itunes.apple.com/us/album/boys-round-here-feat.-pistol/id606057263?i=606057317&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Drew Hutchison	Call Me Maybe	Carly Rae Jepson	Pop	https://itunes.apple.com/us/album/call-me-maybe/id557372575?i=557373187&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Dustin McGowan	Stricken	Disturbed	Rock	https://itunes.apple.com/us/album/stricken/id79990543?i=79990408&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Edwin Encarnacion	No Tu	Nipo		
Blue Jays	J.A. Happ	Hysteria	Muse	Alternative	https://itunes.apple.com/us/album/hysteria/id314261338?i=314261453&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	J.P. Arencibia	The Stroke	Billy Squire	Hip-Hop/Rap	https://itunes.apple.com/us/album/dance-a*$/id474598988?i=474599216&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Jose Bautista	Ven conmigo	Daddy Yankee		https://itunes.apple.com/us/album/ven-conmigo-feat.-prince-royce/id536888081?i=536888083&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Kyle Drabek	Red Solo Cup	Toby Keith	Country	https://itunes.apple.com/us/album/red-solo-cup/id469517987?i=469517997&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Luis Perez	Tu Olor	Wisin & Yandel	Reggaeton y Hip-Hop	http://click.linksynergy.com/fs-bin/stat?id=7itOUbGkbq8&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Falbum%252Ftu-olor%252Fid414729996%253Fi%253D414730008%2526uo%253D4%2526partnerId%253D30&u1=TuOlor
Blue Jays	Mark Buehrle	The Wind	Zac Brown Band	Country	https://itunes.apple.com/us/album/the-wind/id539428840?i=539428844&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Mark DeRosa	Bullet With Butterfly Wings	Smashing Pumpkins	Alternative	https://itunes.apple.com/us/album/bullet-with-butterfly-wings/id51093657?i=51093564&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	Munenori Kawasaki	Good Feeling	Flo Rida	Hip-Hop/Rap	https://itunes.apple.com/us/album/good-feeling/id613867183?i=613867349&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	R.A. Dickey	Imperial March (Darth Vader's Theme)	Star Wars Soundtrack	Soundtrack	https://itunes.apple.com/us/album/imperial-march-darth-vaders/id411445463?i=411445473&uo=4&at=10l3Hj&ct=mobile_music
Blue Jays	R.A. Dickey	Theme from Game of Thrones	Ramin Djawadi	Soundtrack	https://itunes.apple.com/us/album/game-of-thrones/id441573161?i=441573185&uo=4&at=10l3Hj&ct=mobile_music
